Date,Time,Status,Mode,Temperature,Fan_speed,Wind_direction,,,,
10/3/2020,20:39:15,On,Cool,23,3,Fix,,,,
10/3/2020,20:39:17,On,Cool,22,3,Fix,,,,
10/3/2020,20:39:18,On,Cool,21,3,Fix,,,,
10/3/2020,20:39:22,On,Cool,21,3,Swing,,,,
10/3/2020,20:39:26,On,Cool,21,1,Swing,,,,
10/3/2020,20:39:29,On,Auto,21,1,Swing,,,,
10/3/2020,20:39:31,Off,Auto,21,1,Swing,,,,
10/3/2020,20:45:52,On,Auto,23,4,Fix,,,,
10/3/2020,20:46:07,On,Auto,24,4,Fix,,,,
10/3/2020,20:46:09,On,Auto,25,4,Fix,,,,
10/3/2020,20:46:30,On,Dry,25,4,Fix,,,,
10/3/2020,20:46:32,On,Cool,25,4,Fix,,,,
10/3/2020,20:46:34,Off,Cool,25,4,Fix,,,,
10/3/2020,20:46:36,Off,Cool,25,4,Fix,,,,
10/3/2020,20:47:08,On,Cool,25,4,Fix,,,,
10/3/2020,20:47:11,On,Dry,25,4,Fix,,,,
10/3/2020,20:47:12,On,Dry,24,4,Fix,,,,
10/3/2020,20:47:12,On,Dry,23,4,Fix,,,,
10/3/2020,20:47:13,On,Dry,24,4,Fix,,,,
10/3/2020,20:47:15,On,Dry,24,3,Fix,,,,
10/3/2020,20:47:17,On,Dry,24,3,Swing,,,,
10/3/2020,20:48:13,On,Dry,23,3,Swing,,,,
10/3/2020,20:48:15,On,Dry,22,3,Swing,,,,
10/3/2020,20:48:15,On,Dry,21,3,Swing,,,,
10/3/2020,20:48:16,On,Dry,20,3,Swing,,,,
10/3/2020,20:48:17,Off,Dry,20,3,Swing,,,,
10/3/2020,20:48:18,Off,Dry,20,3,Swing,,,,
10/3/2020,20:58:14,On,Cool,21,2,Swing,,,,
10/3/2020,20:58:14,On,Cool,21,undefined,Swing,,,,
10/3/2020,20:58:14,On,undefined,21,undefined,Swing,,,,
10/3/2020,20:58:15,On,undefined,21,undefined,Swing,,,,
10/3/2020,20:58:15,On,undefined,21,undefined,Swing,,,,
10/3/2020,20:58:15,On,undefined,21,undefined,Swing,,,,
10/3/2020,21:00:05,On,Cool,23,2,Fix,,,,
10/3/2020,21:00:32,On,Cool,22,2,Fix,,,,
10/3/2020,21:00:34,On,Cool,22,4,Fix,,,,
10/3/2020,21:00:36,On,Cool,22,4,Swing,,,,
10/3/2020,21:06:18,On,Dry,22,2,Fix,,,,
10/3/2020,21:06:41,On,Dry,21,2,Fix,,,,
10/3/2020,21:06:43,On,Dry,21,4,Fix,,,,
10/3/2020,21:06:47,On,Dry,21,4,Swing,,,,
10/3/2020,21:06:50,On,Dry,20,4,Swing,,,,
10/3/2020,21:06:50,On,Dry,20,4,Swing,,,,
10/3/2020,21:06:51,On,Dry,21,4,Swing,,,,
10/3/2020,21:06:51,On,Dry,22,4,Swing,,,,
10/3/2020,21:06:51,On,Dry,23,4,Swing,,,,
10/3/2020,21:06:51,On,Dry,24,4,Swing,,,,
10/3/2020,21:06:52,On,Dry,25,4,Swing,,,,
10/3/2020,21:07:36,On,Dry,25,3,Swing,,,,
10/3/2020,21:07:42,On,Dry,25,2,Swing,,,,
10/3/2020,21:07:43,On,Dry,26,2,Swing,,,,
10/3/2020,21:07:43,On,Dry,27,2,Swing,,,,
10/3/2020,21:07:58,On,Dry,27,2,Fix,,,,
10/3/2020,21:08:00,On,Dry,27,2,Swing,,,,
10/3/2020,21:08:13,On,Cool,27,2,Swing,,,,
10/3/2020,21:08:15,On,Auto,27,2,Swing,,,,
10/3/2020,21:26:09,On,Cool,28,3,Fix,,,,
10/3/2020,21:26:17,On,Cool,29,3,Fix,,,,
